gene,arabi-defline
Vigun04g171100,carboxyesterase 18
Vigun11g121400,plant U-box 23
Vigun09g243000,allene oxide synthase
Vigun06g220600,Thiamine pyrophosphate dependent pyruvate decarboxylase family protein
Vigun09g230600,no annotation
Vigun01g039300,Seed maturation protein
Vigun01g043100,beta glucosidase 17
Vigun05g068100,no annotation
Vigun10g180000,no annotation
Vigun03g131200,MLP-like protein 423
Vigun10g157900,no annotation
Vigun03g432300,isopentenyltransferase 5
Vigun02g178400,1-aminocyclopropane-1-carboxylic acid (acc) synthase 6
Vigun06g183800,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun05g032900,HXXXD-type acyl-transferase family protein
Vigun02g112300,Auxin efflux carrier family protein
Vigun01g010100,Major facilitator superfamily protein
Vigun10g066100,no annotation
Vigun06g030900,MATE efflux family protein
Vigun03g252000,basic chitinase
Vigun04g150500,MATE efflux family protein
Vigun04g187300,formate dehydrogenase
Vigun07g176100,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun05g032600,HXXXD-type acyl-transferase family protein
Vigun05g132000,RING/U-box superfamily protein
Vigun03g022700,phytochrome-associated protein 2
Vigun09g133700,WRKY DNA-binding protein 55
Vigun09g258900,Arabidopsis protein of unknown function (DUF241)
Vigun04g108100,"cytochrome P450, family 81, subfamily D, polypeptide 4"
Vigun09g162800,no annotation
Vigun08g181100,cystatin B
Vigun08g055000,no annotation
Vigun01g088900,spermidine hydroxycinnamoyl transferase
Vigun01g028600,no annotation
Vigun06g001300,methionine gamma-lyase
Vigun03g098500,xylem bark cysteine peptidase 3
Vigun01g140500,no annotation
Vigun04g172800,Plant protein of unknown function (DUF247)
Vigun07g121400,Plant invertase/pectin methylesterase inhibitor superfamily
Vigun02g197300,alpha/beta-Hydrolases superfamily protein
Vigun04g055400,Protein of unknown function (DUF1997)
Vigun08g113300,serine/threonine protein kinase 2
Vigun07g218500,no annotation
Vigun03g048500,WRKY DNA-binding protein 75
Vigun06g112100,NAD(P)-linked oxidoreductase superfamily protein
Vigun04g045600,Kunitz family trypsin and protease inhibitor protein
Vigun09g186800,hydroxyproline-rich glycoprotein family protein
Vigun01g139700,ethylene responsive element binding factor 3
Vigun03g190600,Leucine-rich repeat (LRR) family protein
Vigun10g122100,BON association protein 2
Vigun10g147000,Integrase-type DNA-binding superfamily protein
Vigun09g037300,Stress responsive alpha-beta barrel domain protein
Vigun10g111400,Protein of unknown function (DUF1442)
Vigun01g042500,no annotation
Vigun04g173800,Protein of unknown function (DUF789)
Vigun04g045700,Kunitz family trypsin and protease inhibitor protein
Vigun02g067900,glutathione S-transferase TAU 18
Vigun05g143800,kunitz trypsin inhibitor 1
Vigun03g449400,auxin response factor 1
Vigun07g084200,C2H2 and C2HC zinc fingers superfamily protein
Vigun04g122000,no annotation
Vigun11g044000,Kunitz family trypsin and protease inhibitor protein
Vigun09g174300,Phosphoglycerate mutase family protein
Vigun10g138400,Phosphoenolpyruvate carboxylase family protein
Vigun11g021400,cysteine-rich RLK (RECEPTOR-like protein kinase) 25
Vigun10g080400,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun01g153100,C2H2 and C2HC zinc fingers superfamily protein
Vigun05g163100,C2H2-like zinc finger protein
Vigun09g126700,no annotation
Vigun05g039300,myb domain protein 113
Vigun06g049400,alpha/beta-Hydrolases superfamily protein
Vigun10g048600,S-locus lectin protein kinase family protein
Vigun05g176900,senescence-related gene 1
Vigun05g007600,zinc finger protein 6
Vigun03g248400,RING/U-box superfamily protein
Vigun05g131200,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun11g172300,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
Vigun10g188400,Ran BP2/NZF zinc finger-like superfamily protein
Vigun05g207000,WRKY DNA-binding protein 69
Vigun03g226900,MLP-like protein 423
Vigun03g236900,polygalacturonase 2
Vigun09g019200,Molybdenum cofactor sulfurase family protein
Vigun11g158900,NAD(P)-binding Rossmann-fold superfamily protein
Vigun03g071800,"cytochrome P450, family 71, subfamily B, polypeptide 34"
Vigun04g075000,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun11g018600,nodulin MtN21 /EamA-like transporter family protein
Vigun05g122900,Transducin/WD40 repeat-like superfamily protein
Vigun07g247000,cysteine-rich RLK (RECEPTOR-like protein kinase) 29
Vigun06g053800,no annotation
Vigun05g009700,MATE efflux family protein
Vigun07g213900,Peroxidase superfamily protein
Vigun10g115800,alpha/beta-Hydrolases superfamily protein
Vigun11g123500,NAD(P)-binding Rossmann-fold superfamily protein
Vigun02g144700,nicotinate phosphoribosyltransferase 2
Vigun11g105700,expansin A20
Vigun07g241300,allene oxide synthase
Vigun03g111900,no annotation
Vigun06g165400,Eukaryotic aspartyl protease family protein
Vigun05g088000,ovate family protein 4
Vigun05g113000,no annotation
Vigun03g306400,Plant invertase/pectin methylesterase inhibitor superfamily protein
Vigun06g222400,Aldolase-type TIM barrel family protein
Vigun11g021200,cysteine-rich RLK (RECEPTOR-like protein kinase) 25
Vigun05g284600,no annotation
Vigun06g178900,jasmonate-zim-domain protein 8
Vigun06g224900,DNAJ-like 20
Vigun06g113300,pathogenesis-related 4
Vigun04g143800,UDP-glucosyl transferase 88A1
Vigun09g225000,Alkaline phytoceramidase (aPHC)
Vigun06g049800,no annotation
Vigun07g055400,glycerol-3-phosphate acyltransferase 6
Vigun08g167800,no annotation
Vigun11g098000,O-methyltransferase family protein
Vigun02g057800,"NAC-like, activated by AP3/PI"
Vigun05g019100,NAD(P)-linked oxidoreductase superfamily protein
Vigun11g163400,Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein
Vigun01g004900,FAD-binding Berberine family protein
Vigun11g026400,Chalcone and stilbene synthase family protein
Vigun01g254000,purple acid phosphatase 15
Vigun05g001400,SAUR-like auxin-responsive protein family 
Vigun09g179600,MATE efflux family protein
Vigun02g164700,"Protein of unknown function, DUF547"
Vigun03g385400,spermidine hydroxycinnamoyl transferase
Vigun05g107600,receptor like protein 56
Vigun03g098000,Cysteine proteinases superfamily protein
Vigun03g136100,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Vigun05g192000,early nodulin-like protein 1
Vigun07g000200,no annotation
Vigun10g122400,no annotation
Vigun05g089500,GRAS family transcription factor
Vigun01g011400,S-locus lectin protein kinase family protein
Vigun08g000900,magnesium transporter 4
Vigun02g164600,tonoplast intrinsic protein 2;3
Vigun08g212200,serine-rich protein-related
Vigun08g195600,citrate synthase 3
Vigun01g127700,Disease resistance-responsive (dirigent-like protein) family protein
Vigun05g246800,alpha carbonic anhydrase 7
Vigun06g125800,no annotation
Vigun03g240900,matrix metalloproteinase
Vigun03g283200,Auxin-responsive GH3 family protein
Vigun10g128500,ubiquitin-specific protease 13
Vigun09g250300,SLAC1 homologue 1
Vigun10g118800,UDP-N-acetylglucosamine (UAA) transporter family
Vigun03g418000,MLP-like protein 423
Vigun05g100700,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun11g218300,no annotation
Vigun05g285400,Mitochondrial substrate carrier family protein
Vigun05g199800,MYB-like 102
Vigun05g146500,kunitz trypsin inhibitor 1
Vigun05g277600,peptidase M20/M25/M40 family protein
Vigun03g345700,minichromosome instability 12 (mis12)-like
Vigun03g118200,no annotation
Vigun09g041500,Riboflavin synthase-like superfamily protein
Vigun07g256800,Domain of unknown function (DUF303) 
Vigun02g110300,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun02g152900,VQ motif-containing protein
Vigun09g220300,P-type ATPase of Arabidopsis 2
Vigun10g089200,Disease resistance-responsive (dirigent-like protein) family protein
Vigun07g007900,Regulator of chromosome condensation (RCC1) family protein
Vigun01g079400,Integrase-type DNA-binding superfamily protein
Vigun08g067300,Polyketide cyclase/dehydrase and lipid transport superfamily protein
Vigun07g218200,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Vigun03g127300,Glycine-rich protein family
Vigun11g094800,RING/U-box superfamily protein
Vigun06g182400,senescence-related gene 1
Vigun06g116300,threonine aldolase 1
Vigun03g133200,DNAJ-like 20
Vigun02g021400,jasmonate-zim-domain protein 4
Vigun02g059300,Calcium-binding EF-hand family protein
Vigun07g171500,myb domain protein 15
Vigun04g173000,Plant protein of unknown function (DUF247)
Vigun05g017100,NAD(P)-linked oxidoreductase superfamily protein
Vigun05g046700,no annotation
Vigun05g185500,phosphoenolpyruvate carboxylase 3
Vigun07g120200,magnesium/proton exchanger
Vigun06g141200,Peroxidase superfamily protein
Vigun05g010700,no annotation
Vigun03g252200,basic chitinase
Vigun05g220400,HXXXD-type acyl-transferase family protein
Vigun10g066000,UDP-Glycosyltransferase superfamily protein
Vigun07g027200,no annotation
Vigun08g093900,Galactosyltransferase family protein
Vigun02g019700,"Zinc finger, C3HC4 type (RING finger) family protein"
VigunL078400,GTP cyclohydrolase I
Vigun02g038900,Auxin-responsive GH3 family protein
Vigun06g013500,Plant L-ascorbate oxidase
Vigun03g448700,glucose-6-phosphate/phosphate translocator 2
Vigun01g161300,DVL family protein
Vigun03g210600,no annotation
Vigun05g177100,senescence-related gene 1
Vigun04g112000,glutamate dehydrogenase 3
Vigun01g027400,no annotation
Vigun05g251300,tetraspanin3
Vigun05g100300,ALC-interacting protein 1
Vigun02g065500,nitrate transporter 1:2
Vigun07g093100,exocyst complex component 84B
Vigun09g081400,aldehyde dehydrogenase 10A8
Vigun07g271900,carboxyesterase 17
Vigun05g027700,UDP-Glycosyltransferase superfamily protein
Vigun01g094400,myb domain protein 105
Vigun04g108000,"cytochrome P450, family 81, subfamily D, polypeptide 8"
Vigun05g162700,expansin B2
Vigun03g043400,BTB/POZ domain with WD40/YVTN repeat-like protein
Vigun01g111100,"beta-1,3-glucanase 1"
Vigun11g064200,NAC domain containing protein  2
Vigun01g140100,"cytochrome P450, family 94, subfamily B, polypeptide 1"
Vigun04g055000,UDP-glycosyltransferase 74 F1
Vigun11g129000,"cytochrome P450, family 94, subfamily C, polypeptide 1"
Vigun08g161200,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun05g032800,HXXXD-type acyl-transferase family protein
Vigun07g256200,no annotation
Vigun05g287600,Galactose oxidase/kelch repeat superfamily protein
Vigun03g074000,Phosphoglycerate mutase family protein
Vigun07g233300,glycosyltransferase 18
Vigun03g096000,Plant protein of unknown function (DUF641)
Vigun05g003700,alpha/beta-Hydrolases superfamily protein
Vigun09g071900,ATP-binding cassette A2
Vigun05g033000,HXXXD-type acyl-transferase family protein
Vigun11g048400,anaphase promoting complex 6
Vigun11g018500,carboxyesterase 17
Vigun09g011100,no annotation
Vigun02g045600,no annotation
Vigun02g120300,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun09g040600,Integrase-type DNA-binding superfamily protein
Vigun02g135800,GNS1/SUR4 membrane protein family
Vigun04g015100,polyol/monosaccharide transporter 5
Vigun10g158100,Protein of unknown function (DUF581)
Vigun07g175100,"Serine protease inhibitor, potato inhibitor I-type family protein"
Vigun03g194400,UDP-Glycosyltransferase superfamily protein
Vigun05g021600,no annotation
Vigun01g087900,no annotation
Vigun10g088200,no annotation
Vigun10g089000,Disease resistance-responsive (dirigent-like protein) family protein
Vigun06g088800,cytokinin response factor 4
Vigun10g056100,"cytochrome P450, family 81, subfamily D, polypeptide 8"
Vigun02g163400,Homeobox-leucine zipper protein 4 (HB-4) / HD-ZIP protein
Vigun07g205900,O-methyltransferase 1
Vigun04g179700,"cytochrome P450, family 82, subfamily C, polypeptide 2"
Vigun03g012600,nudix hydrolase homolog 17
Vigun08g211200,Sec14p-like phosphatidylinositol transfer family protein
Vigun05g080200,NAD(P)-binding Rossmann-fold superfamily protein
Vigun03g232200,MATE efflux family protein
Vigun05g262900,ADP/ATP carrier 2
Vigun06g191800,ARM repeat superfamily protein
Vigun08g014400,phloem protein 2-B10
Vigun07g160000,ammonium transporter 1;2
Vigun02g082300,MATE efflux family protein
Vigun01g176800,F-box family protein
Vigun06g133500,HCO3- transporter family
Vigun07g257900,UDP-glucosyl transferase 84B1
Vigun07g243300,NPK1-related protein kinase 3
Vigun10g168900,lipoxygenase 1
Vigun05g143700,kunitz trypsin inhibitor 1
Vigun08g125100,exocyst subunit exo70 family protein B1
Vigun05g032700,HXXXD-type acyl-transferase family protein
Vigun03g186700,redox responsive transcription factor 1
Vigun05g297800,H(+)-ATPase 9
Vigun04g034000,no annotation
Vigun03g086200,no annotation
Vigun07g256300,Plant basic secretory protein (BSP) family protein
Vigun03g071700,ferulic acid 5-hydroxylase 1
Vigun07g190600,embryo defective 2739
Vigun01g225000,HXXXD-type acyl-transferase family protein
Vigun05g142900,drought-repressed 4
Vigun11g123900,NAD(P)-binding Rossmann-fold superfamily protein
Vigun08g213600,seed imbibition 1
Vigun09g147300,no annotation
Vigun04g180000,"cytochrome P450, family 82, subfamily C, polypeptide 4"
Vigun02g004200,O-methyltransferase 1
Vigun04g109900,NAC domain containing protein 47
Vigun09g246900,NmrA-like negative transcriptional regulator family protein
Vigun07g048400,Concanavalin A-like lectin protein kinase family protein
Vigun10g019400,DYNAMIN-like 1E
Vigun01g028500,no annotation
Vigun01g150800,cation/H+ exchanger 20
Vigun04g143900,UDP-glucosyl transferase 88A1
Vigun01g020000,no annotation
Vigun01g105100,Auxin efflux carrier family protein
Vigun01g217100,no annotation
Vigun01g225300,WUSCHEL related homeobox 5
Vigun11g163500,lipoxygenase 2
Vigun05g167900,DNA-binding storekeeper protein-related
Vigun02g122700,Chaperone DnaJ-domain superfamily protein
Vigun04g153700,"cytochrome P450, family 715, subfamily A, polypeptide 1"
Vigun04g079500,myb domain protein 105
Vigun06g173200,Deoxyxylulose-5-phosphate synthase
Vigun04g028100,no annotation
Vigun01g039200,pheophytinase
Vigun10g118300,TCP family transcription factor 
Vigun06g141100,Peroxidase superfamily protein
Vigun01g037700,NAD(P)-binding Rossmann-fold superfamily protein
Vigun06g013300,lipoxygenase 2
Vigun10g142700,formin homology 1
Vigun03g164700,cellulose synthase like G1
Vigun11g045200,Nodulin MtN3 family protein
Vigun07g111100,Eukaryotic aspartyl protease family protein
Vigun06g082700,WRKY DNA-binding protein 33
Vigun06g126200,myb domain protein 4
Vigun09g217900,Ankyrin repeat family protein
Vigun03g084800,plantacyanin
Vigun01g142900,myb domain protein 15
Vigun05g172500,no annotation
Vigun03g138900,polygalacturonase inhibiting protein 1
Vigun04g126600,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Vigun04g083700,lysine histidine transporter 1
Vigun08g221200,PHE ammonia lyase 1
Vigun05g215500,no annotation
Vigun05g242600,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Vigun05g288800,pleiotropic drug resistance 12
Vigun07g241000,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Vigun04g126500,no annotation
Vigun08g216100,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
Vigun05g041600,nitrate transporter 1.5
Vigun01g010300,Major facilitator superfamily protein
Vigun05g143100,no annotation
Vigun07g178200,ethylene response factor 1
Vigun03g391800,polyamine oxidase 5
Vigun07g159700,RmlC-like cupins superfamily protein
Vigun10g081700,Plant protein of unknown function (DUF828)
Vigun01g055500,zinc transporter 1 precursor
Vigun04g011600,no annotation
Vigun03g002900,no annotation
Vigun09g196000,Sulfite exporter TauE/SafE family protein
Vigun01g239000,no annotation
Vigun03g006800,ethylene-forming enzyme
Vigun08g163300,Glutaredoxin family protein
Vigun01g218800,Eukaryotic aspartyl protease family protein
Vigun04g017000,multiprotein bridging factor 1C
Vigun09g065400,Peptidase S24/S26A/S26B/S26C family protein
Vigun06g062700,NB-ARC domain-containing disease resistance protein
Vigun03g157500,potassium transporter 1
Vigun03g073300,Cupredoxin superfamily protein
Vigun03g278000,mitogen-activated protein kinase kinase kinase 21
Vigun09g179400,RING/U-box superfamily protein
Vigun04g104800,phosphate transporter 3;1
Vigun11g176800,Glucose-1-phosphate adenylyltransferase family protein
Vigun07g012900,Putative lysine decarboxylase family protein
Vigun10g182900,HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain
Vigun05g091100,no annotation
Vigun05g106400,3-oxo-5-alpha-steroid 4-dehydrogenase family protein
Vigun07g051400,peroxisomal 3-ketoacyl-CoA thiolase 3
Vigun06g019600,no annotation
Vigun09g215800,no annotation
Vigun01g088800,spermidine hydroxycinnamoyl transferase
Vigun03g189900,UDP-glycosyltransferase 73B4
Vigun05g102000,SGNH hydrolase-type esterase superfamily protein
Vigun06g209200,Major facilitator superfamily protein
Vigun04g028900,MATE efflux family protein
Vigun09g040200,jasmonate-zim-domain protein 1
Vigun09g052600,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Vigun08g122000,ZIP metal ion transporter family
Vigun06g036100,glutathione S-transferase PHI 9
Vigun01g128800,receptor-like kinase in in flowers 3
Vigun10g132400,HXXXD-type acyl-transferase family protein
Vigun04g019300,Cytochrome P450 superfamily protein
Vigun03g216100,myb-like transcription factor family protein
Vigun08g125300,UDP-Glycosyltransferase superfamily protein
Vigun07g199600,no annotation
Vigun11g198500,Calcium-binding EF-hand family protein
Vigun02g198200,methylesterase PCR A
Vigun06g126600,Calcium-binding EF-hand family protein
Vigun09g227900,branched-chain amino acid transaminase 2
Vigun03g251500,phosphoserine aminotransferase
Vigun01g234100,RING-H2 finger A2A
Vigun03g117900,terpene synthase 14
Vigun08g199900,no annotation
Vigun07g175500,"Serine protease inhibitor, potato inhibitor I-type family protein"
Vigun02g033100,alpha/beta-Hydrolases superfamily protein
Vigun11g082800,"disease resistance protein (TIR-NBS-LRR class), putative"
Vigun07g175200,"Serine protease inhibitor, potato inhibitor I-type family protein"
Vigun11g026200,DNAse I-like superfamily protein
Vigun05g236100,no annotation
Vigun02g085800,ROP binding protein kinases 1
Vigun08g199400,"Protein of unknown function, DUF584"
Vigun09g084300,polygalacturonase inhibiting protein 1
Vigun05g266500,beta glucosidase 15
Vigun07g280500,ACT-like protein tyrosine kinase family protein
Vigun06g165300,Eukaryotic aspartyl protease family protein
Vigun03g384200,Protein kinase superfamily protein
Vigun05g035100,UDP-Glycosyltransferase superfamily protein
Vigun09g274300,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Vigun05g173900,"cytochrome P450, family 72, subfamily A, polypeptide 7"
Vigun09g070900,enolase 1
Vigun09g259100,no annotation
Vigun07g196200,Putative membrane lipoprotein
Vigun11g123300,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"
Vigun07g241400,PLAT/LH2 domain-containing lipoxygenase family protein
Vigun07g289000,ABC-2 type transporter family protein
Vigun06g117000,ethylene response factor 1
Vigun10g159300,GDSL-motif lipase 5
Vigun09g043800,no annotation
Vigun05g222300,B-box type zinc finger family protein
Vigun11g124000,NAD(P)-binding Rossmann-fold superfamily protein
Vigun08g106000,no annotation
Vigun09g209400,no annotation
Vigun09g184100,phosphoglucose isomerase 1
Vigun03g285000,root hair specific 19
Vigun10g067300,cytochrome B5 isoform B
Vigun05g123700,RING/U-box superfamily protein
Vigun10g093500,NAD(P)-binding Rossmann-fold superfamily protein
Vigun03g236300,no annotation
Vigun07g154400,translocase of inner mitochondrial membrane 23
Vigun07g239700,photosystem II 11 kDa protein-related
Vigun05g248600,plasma membrane intrinsic protein 2
Vigun03g260400,vascular related NAC-domain protein 1
Vigun10g193300,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun04g166300,Protein of unknown function (DUF668)
Vigun05g006100,LOB domain-containing protein 41
Vigun04g108200,Protein of unknown function (DUF803)
Vigun06g035900,glutathione S-transferase PHI 9
Vigun10g021900,Zinc-binding dehydrogenase family protein
Vigun09g190500,NADP-malic enzyme 3
Vigun09g030300,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun10g056000,cycloartenol synthase 1
Vigun09g217100,Protein of unknown function (DUF1336)
Vigun03g176200,ralf-like 32
Vigun05g034000,glycosyl hydrolase family 81 protein
Vigun04g001800,organellar single-stranded DNA binding protein 3
Vigun09g142500,Leucine-rich repeat protein kinase family protein
Vigun03g399500,jasmonate-zim-domain protein 1
